Input,lbl,slevel,MAPKpp,MI,p4a,p4b,p4m,p4n
0.7979591836734694,flat,StotOE,0.6443307709359154,0.013755170444247865,0.0,6.5,-47.5,495
0.8181632653061224,flat,StotOE,0.6453122649213174,0.05772682195719325,0.0,6.5,-47.5,495
0.8383673469387755,flat,StotOE,0.6475888070129634,0.10652301604216158,0.0,6.5,-47.5,495
0.8585714285714285,flat,StotOE,0.6512916579330706,0.1595858434686965,0.0,6.5,-47.5,495
0.8787755102040816,flat,StotOE,0.6565326880458611,0.2152339324221453,0.0,6.5,-47.5,495
0.8989795918367347,flat,StotOE,0.663374657547101,0.27050887383127625,0.0,6.5,-47.5,495
0.9191836734693878,flat,StotOE,0.6717959402536017,0.32102027312347997,0.0,6.5,-47.5,495
0.9393877551020408,flat,StotOE,0.6816621309561773,0.36198975413484813,0.0,6.5,-47.5,495
0.9595918367346938,flat,StotOE,0.6927214358995882,0.3892715819090714,0.0,6.5,-47.5,495
0.9797959183673469,flat,StotOE,0.7046331841546933,0.4010228471967205,0.0,6.5,-47.5,495
1.0,flat,StotOE,0.7170206199065409,0.39784646966256115,0.0,6.5,-47.5,495
0.01,highsig,StotNative,0.2599207350083994,0.11129299945419643,0.003,6.5,150.0,0
0.030204081632653063,highsig,StotNative,0.26224116603560016,0.23118320026250264,0.003,6.5,150.0,0
0.05040816326530612,highsig,StotNative,0.2661377431336028,0.3476227018836337,0.003,6.5,150.0,0
0.07061224489795918,highsig,StotNative,0.27152539391590985,0.4603250427834597,0.003,6.5,150.0,0
0.09081632653061224,highsig,StotNative,0.2783009953281184,0.5672031598237577,0.003,6.5,150.0,0
0.11102040816326529,highsig,StotNative,0.28634777986673754,0.6679685235177666,0.003,6.5,150.0,0
0.13122448979591836,highsig,StotNative,0.2955398678516821,0.7629045183772174,0.003,6.5,150.0,0
0.15142857142857144,highsig,StotNative,0.30574657375199704,0.8504421811778589,0.003,6.5,150.0,0
0.1716326530612245,highsig,StotNative,0.31683634211164846,0.9333866382408678,0.003,6.5,150.0,0
0.19183673469387755,highsig,StotNative,0.32868000423659766,1.0082805747274153,0.003,6.5,150.0,0
0.2120408163265306,highsig,StotNative,0.34115347317778794,1.07657195526152,0.003,6.5,150.0,0
0.23224489795918368,highsig,StotNative,0.35413967172582644,1.1381088281199192,0.003,6.5,150.0,0
0.2524489795918367,highsig,StotNative,0.3675299406620072,1.1933890937367304,0.003,6.5,150.0,0
0.2726530612244898,highsig,StotNative,0.38122481910687717,1.2417588877065229,0.003,6.5,150.0,0
0.29285714285714287,highsig,StotNative,0.3951344170143215,1.28496187151492,0.003,6.5,150.0,0
0.3130612244897959,highsig,StotNative,0.40917841451489595,1.3205681519987091,0.003,6.5,150.0,0
0.333265306122449,highsig,StotNative,0.42328579324363297,1.3517986496183823,0.003,6.5,150.0,0
0.35346938775510206,highsig,StotNative,0.4373943848076381,1.3782837086386899,0.003,6.5,150.0,0
0.3736734693877551,highsig,StotNative,0.4514502760884009,1.3993928517445662,0.003,6.5,150.0,0
0.39387755102040817,highsig,StotNative,0.4654071620471146,1.416576185941482,0.003,6.5,150.0,0
0.4140816326530612,highsig,StotNative,0.47922565655263816,1.4305061459751907,0.003,6.5,150.0,0
0.4342857142857143,highsig,StotNative,0.49287260475993083,1.4380422605721361,0.003,6.5,150.0,0
0.45448979591836736,highsig,StotNative,0.5063204169371549,1.4442976882624758,0.003,6.5,150.0,0
0.4746938775510204,highsig,StotNative,0.5195464347625548,1.4470907783272657,0.003,6.5,150.0,0
0.49489795918367346,highsig,StotNative,0.5325323429281055,1.4478635221447294,0.003,6.5,150.0,0
0.5151020408163265,highsig,StotNative,0.5452636338756393,1.4441472227023255,0.003,6.5,150.0,0
0.5353061224489796,highsig,StotNative,0.5577290972104755,1.4400508300787276,0.003,6.5,150.0,0
0.5555102040816327,highsig,StotNative,0.5699204202390687,1.4333066568145554,0.003,6.5,150.0,0
0.5757142857142857,highsig,StotNative,0.5818317299882411,1.426727363548314,0.003,6.5,150.0,0
0.5959183673469388,highsig,StotNative,0.5934592949440366,1.4142698489114254,0.003,6.5,150.0,0
0.6161224489795918,highsig,StotNative,0.6048011932815321,1.4029581539320335,0.003,6.5,150.0,0
0.6363265306122449,highsig,StotNative,0.6158570433620948,1.3901113378343872,0.003,6.5,150.0,0
0.656530612244898,highsig,StotNative,0.626627762583661,1.3764907543609965,0.003,6.5,150.0,0
0.676734693877551,highsig,StotNative,0.6371153617233848,1.361941531395913,0.003,6.5,150.0,0
0.6969387755102041,highsig,StotNative,0.6473227614131963,1.3491283283085176,0.003,6.5,150.0,0
0.7171428571428571,highsig,StotNative,0.6572536357950935,1.331746987547434,0.003,6.5,150.0,0
0.7373469387755102,highsig,StotNative,0.6669122743496818,1.3153300882133974,0.003,6.5,150.0,0
0.7575510204081632,highsig,StotNative,0.6763034649432884,1.299749712579956,0.003,6.5,150.0,0
0.7777551020408163,highsig,StotNative,0.6854323919187053,1.2804159893627995,0.003,6.5,150.0,0
0.7979591836734694,highsig,StotNative,0.6943045504982058,1.263340366853696,0.003,6.5,150.0,0
0.8181632653061224,highsig,StotNative,0.7029256652589025,1.2442289242393687,0.003,6.5,150.0,0
0.8383673469387755,highsig,StotNative,0.7113016367138476,1.229334559754754,0.003,6.5,150.0,0
0.8585714285714285,highsig,StotNative,0.7194384775737709,1.2110964466802399,0.003,6.5,150.0,0
0.8787755102040816,highsig,StotNative,0.7273422695979129,1.1915528811796234,0.003,6.5,150.0,0
0.8989795918367347,highsig,StotNative,0.7350191263501875,1.1736585280133116,0.003,6.5,150.0,0
0.9191836734693878,highsig,StotNative,0.7424751598322099,1.1544073087620284,0.003,6.5,150.0,0
0.9393877551020408,highsig,StotNative,0.7497164439942557,1.1389685186862033,0.003,6.5,150.0,0
0.9595918367346938,highsig,StotNative,0.7567490044877926,1.1226000487805265,0.003,6.5,150.0,0
0.9797959183673469,highsig,StotNative,0.7635787927538294,1.1045600304818892,0.003,6.5,150.0,0
1.0,highsig,StotNative,0.7702116706271637,1.0879403740781406,0.003,6.5,150.0,0
0.01,highsig,StotOE,0.39348108246551966,34.645545427646994,0.003,6.5,150.0,0
0.030204081632653063,highsig,StotOE,0.7526749310147581,28.58243255467022,0.003,6.5,150.0,0
0.05040816326530612,highsig,StotOE,0.9140941325796759,16.458823497350206,0.003,6.5,150.0,0
0.07061224489795918,highsig,StotOE,0.9767166530709362,10.088015203142266,0.003,6.5,150.0,0
